user_id,item_id
175,3013 1316 2862 2402 2732 169 640 2054 772 3473
176,1583 1039 2210 2732 3529 1211 3692 472 1316 640
177,1583 1316 1543 2297 3409 463 1337 2054 989 2564
178,3013 401 3692 2603 1505 463 2931 3638 1560 3317
179,375 3409 2688 10 1279 3125 2091 472 3022 36
180,1811 2297 1039 1583 3022 2646 2170 2732 2980 1831
181,36 3013 472 2603 2564 2745 2784 1315 2297 618
182,36 1279 3022 1354 779 2862 573 1186 3409 472
183,3022 1831 463 584 2366 2331 2626 3317 944 293
184,2281 1240 1725 1070 1536 169 3227 1583 1186 3338
185,1315 2862 3022 1560 1543 3153 2564 1039 36 1583
186,1186 36 1583 3013 573 779 2297 472 1223 2688
187,1223 3013 3153 472 1316 3529 1583 3423 2664 124
188,36 2067 3694 2732 2862 1568 476 2534 3692 1316
189,1583 3013 640 2210 2732 1560 1057 1376 2297 463
190,2636 2335 3696 1536 2063 663 2528 1831 2732 1039
191,3022 1279 1316 618 2784 1583 3424 741 573 2688
192,3022 2630 2210 1211 2603 1615 208 169 2256 1376
193,467 3677 1315 246 1337 2068 1887 2774 3133 482
194,3022 1583 2297 208 640 1831 3529 2603 463 2980
195,2862 124 3529 1811 2402 863 1831 2528 3409 1840
196,1039 2646 3013 1746 2732 3528 3238 2768 1543 2564
197,1279 472 3423 1186 1638 3013 779 2862 573 1354
198,2603 2630 476 2256 1248 3529 1030 119 2510 2194
199,472 3409 3423 3529 3013 79 1223 132 1543 2402
200,36 2784 132 1186 3424 3022 1583 236 1505 1039
201,640 3529 3694 1211 2646 584 36 2980 1543 3409
202,1039 3529 36 1831 2630 208 2745 1505 1030 2757
203,472 1560 2297 1583 1831 1086 2402 1956 1868 183
204,1560 989 382 1456 1956 304 409 1223 2862 120
205,1223 1560 3529 1039 1831 1583 3022 2646 640 3423
206,1956 1583 2210 2732 2688 2297 2630 398 2468 774
207,472 3013 37 1811 1560 1543 1223 2528 1316 2960
208,1039 472 1279 3022 1583 2784 3013 2862 1505 1638
209,472 989 1337 2370 2256 3677 1371 1887 1781 382
210,232 472 3656 452 1337 1868 2862 1086 2402 1223
211,2297 2630 1211 2664 3022 169 3059 1376 3142 1030
212,2862 1543 3529 124 1316 1223 989 3409 476 584
213,36 1039 1211 3529 476 2630 2745 2366 1030 2757
214,472 2732 1560 3059 3327 1337 94 3692 989 2076
215,1583 2646 2980 1831 3692 2603 1956 183 2067 2468
216,3013 1638 36 2817 3151 2510 779 2862 3409 472
217,2468 2510 2067 1039 1546 2602 2646 2314 212 3049
218,208 2757 2129 3022 650 2297 1039 1583 472 1099
219,523 2293 2091 3022 472 36 1583 512 1638 2784
220,1831 1039 2297 640 3013 2862 2564 2646 2732 3694
221,3448 2980 3402 3116 37 1887 863 2370 1678 883
222,3529 2745 1316 2646 3692 2664 1560 472 2128 1811
223,3529 463 3013 293 1956 398 3046 2862 3022 3272
224,472 1337 246 989 1315 2256 2402 512 802 382
225,472 1583 36 3423 3022 3409 2603 1560 3529 2210
226,2646 3529 1211 463 1615 2256 2076 1960 989 2327
227,2210 1211 3529 640 2630 1030 463 293 2468 621
228,1583 1831 2980 169 2757 2510 2626 2602 2784 2342
229,3423 472 1039 3022 236 779 1505 1354 1315 3269
230,3409 1279 3013 1223 3022 1583 2862 472 36 2297
231,1315 1279 184 1057 2646 2165 2297 472 1583 2474
232,1039 3022 1831 36 3409 463 2603 1543 3694 476
233,3022 618 1376 2862 2688 3424 1186 1583 1354 3409
234,1316 2862 1583 1315 2564 1811 37 863 1560 3022
235,1376 1858 3000 528 3656 160 1848 2653 1375 1044
236,36 476 3692 1316 1543 2688 169 3409 2630 2054
237,3013 1039 3022 124 293 584 2757 2646 94 169
238,3694 2646 2603 1223 2768 1809 1811 472 36 398
239,1583 2297 3418 3529 3022 472 1912 584 913 428
240,2297 3694 2757 3529 2646 2510 3418 1078 2067 1223
241,36 2564 1560 2784 1316 772 3692 2688 208 779
242,772 2784 2603 3409 779 1831 1354 3269 2256 922
243,3059 1223 3013 3529 2327 1376 2402 1811 2256 3153
244,1831 584 2757 1746 3238 3046 1490 3660 2186 472
245,472 1223 3529 1316 2564 124 989 883 3272 409
246,3022 1831 2862 36 2210 463 1560 2646 1543 1316
247,640 2067 3473 2314 169 2626 1078 183 2757 2331
248,476 2603 2745 1505 2630 3418 584 208 2646 214
249,2646 1583 1615 3022 1184 59 1811 1831 1711 1039
250,3022 3013 2688 1030 3142 989 3153 3423 1858 3046
251,1337 802 472 1583 1545 3529 3311 640 1831 702
252,1039 2745 1505 476 463 2297 3694 640 2630 2366
253,1543 1223 2862 3529 3153 1316 463 3409 2128 1560
254,2664 1376 1638 528 3656 1868 3335 3262 1216 1848
255,3022 1583 1543 2297 2862 2646 2732 1070 584 512
256,3022 3013 472 3153 132 618 1186 2688 3269 169
257,1831 2603 2210 640 1223 36 2646 463 3013 169
258,1583 3694 1223 2630 1211 2603 1543 1337 1186 944
259,1543 3529 472 3409 1831 3153 124 2862 1315 2402
260,472 3597 3438 3367 1543 406 2862 3116 1223 1746
261,1811 3013 1560 1543 1316 1223 1583 3409 2564 361
262,3694 2664 3151 3424 3131 3473 1337 2745 1057 1840
263,3059 2054 2256 1811 1583 1223 3013 2800 3409 2956
264,2054 1615 1811 3402 863 1227 2308 530 1887 37
265,476 2314 169 1615 1337 3441 2664 2630 2688 487
266,472 3656 312 802 3311 452 232 463 1223 2862
267,790 3142 1583 2297 2261 1045 922 1428 1178 1463
268,2862 1223 1560 1831 2297 1211 476 2128 3409 208
269,1223 1316 3409 3153 463 1560 618 1711 3418 476
270,2564 1543 3153 1831 124 1916 1371 463 2054 1950
271,584 1956 640 1831 463 2297 3022 476 3529 208
272,1279 3423 36 3013 2862 3151 1223 1583 1186 3269
273,1223 1039 2862 36 3409 3529 1583 3692 3423 2564
274,1560 1831 1583 3022 2210 472 1039 1543 2646 169
275,463 584 1376 3656 528 3529 1543 2387 1638 3000
276,2297 2067 2603 2510 331 2784 3473 472 1078 1855
277,1858 1638 528 1300 3656 1216 3335 1868 2541 1848
278,293 463 472 3327 1560 1337 36 169 1546 3051
279,1543 2564 2688 2664 2366 1956 3172 3528 1746 1315
280,1831 2603 2784 3473 2342 3053 2501 1855 398 1546
281,640 2757 2626 2210 472 2602 2194 169 2688 1560
282,1583 36 2603 1039 2128 1831 2210 2606 1505 463
283,3059 2646 2664 1658 1583 2768 3013 1315 2402 1223
284,1583 3022 2297 1543 3409 2862 2617 2256 293 2688
285,640 3022 584 1583 472 2630 463 2510 2210 2297
286,3022 1831 1039 640 3382 2210 36 584 2757 169
287,2646 2603 1811 3694 1223 2510 2342 1615 2281 3298
288,1831 463 472 331 1746 3022 1039 1337 1956 3694
289,69 2222 2297 1912 467 246 1583 2688 3423 2493
290,2564 3022 1039 2862 790 463 1887 1592 1030 1371
291,36 3423 3022 1543 1186 3269 1638 779 618 2564
292,472 3656 232 312 79 2402 2561 2862 1037 3187
293,463 1831 1211 2862 208 169 36 476 3409 2630
294,3022 2980 2768 2338 1811 2732 3059 2603 1223 1546
295,1039 640 36 1223 2067 208 2510 2646 476 584
296,472 2664 1376 3656 1858 528 2653 160 1638 3000
297,2732 2210 169 640 2314 3049 1855 1546 3048 1007
298,2603 640 1831 3529 2646 1223 2314 1505 3692 1211
299,640 1543 2297 3272 2314 169 476 2603 1211 2630
300,1039 1831 169 2603 2784 707 1186 1960 1211 463
301,3529 2980 640 1223 1543 1039 1560 1316 472 2862
302,472 36 3013 3022 1315 1316 1543 1279 1560 1223
303,472 1887 1315 3677 2370 989 2402 482 2342 1422
304,1543 124 472 3153 463 1583 69 3402 36 1560
305,3692 1811 3142 2054 2256 1315 401 2664 2470 2528
306,3022 1583 36 2297 3418 1831 2630 3529 2688 2646
307,3022 1543 2564 2646 208 1592 1315 3402 3382 2784
308,3022 2297 1211 584 2210 2646 640 2630 1831 3529
309,2688 2603 2630 2510 2646 2626 2067 3473 2784 1956
310,472 1315 3529 1223 1560 2281 1543 124 2980 584
311,1831 2603 2980 3694 476 16 472 2256 1211 2862
312,3529 2646 472 1337 3694 398 293 2256 1211 36
313,2688 640 2784 2980 169 2757 2468 1956 183 3473
314,1315 3402 3448 1887 2980 37 3390 3474 2528 1227
315,472 1341 3390 3402 2370 863 3116 2774 3448 1615
316,1811 3142 1315 3692 790 2054 2502 1030 2297 1887
317,640 584 2603 2980 169 208 2256 790 3534 1316
318,1543 2862 3013 3153 3022 472 1186 1316 1279 796
319,293 3327 3238 3022 3046 1809 2129 331 2338 2297
320,472 2646 1316 1583 1223 1039 1279 3022 3423 1186
321,1583 3694 3529 2564 2862 36 2646 2688 169 2980
322,989 2602 2732 3238 1956 2617 3272 3153 2256 2054
323,1223 2862 2256 2745 1376 2076 3534 1057 2956 1341
324,1615 406 3597 1193 3669 1678 2024 1057 2297 2308
325,1315 3151 2817 1583 2165 2862 2646 472 2297 406
326,3022 2630 2732 2067 169 1078 2331 1913 3053 2342
327,1583 772 3022 2630 463 1039 2510 2646 2297 3269
328,1211 169 1279 36 1831 463 208 1316 640 2956
329,472 2646 3022 1315 2862 1376 2528 2673 1583 2402
330,3382 1300 3066 3110 3022 1401 3159 1216 1699 1736
331,1583 2054 1316 3529 2256 863 2732 790 1376 1315
332,1831 2297 2626 584 331 543 2602 3332 1374 1491
333,36 772 2603 2646 2732 3059 476 2862 2366 2256
334,3013 472 1030 2402 331 1337 3677 452 1868 1560
335,1543 3013 1583 463 2297 2564 2054 1337 1039 584
336,3418 1583 3529 2297 1039 36 2128 2603 2606 3280
337,1030 2745 361 1808 176 106 20 868 983 3013
338,1057 3692 2732 1186 3022 236 1811 2165 2297 1543
339,1638 1223 3692 3269 3409 1505 2784 1583 618 3424
340,3022 2297 2603 169 2732 1223 2314 3529 2757 463
341,1039 1583 1831 640 1211 463 208 2630 1746 472
342,1223 1543 36 2862 3423 1186 1316 3529 1039 3269
343,472 1811 2402 2732 1543 452 1583 1337 2297 3022
344,2210 3013 1560 2862 1811 2327 2314 2534 1960 989
345,3022 1831 640 1211 36 2630 463 1505 584 82
346,3022 1956 1711 1583 1374 1831 220 3049 212 2646
347,1831 208 3529 2732 1223 3053 3046 2129 169 2768
348,3529 3677 1223 2297 463 124 3013 3409 640 1831
349,1223 640 36 3694 1831 3692 2402 863 3272 2630
350,2980 331 1809 2222 3441 3022 3046 1583 3358 2297
351,2335 169 1583 1811 3022 2281 2297 1711 1725 2063
352,1583 2256 2297 169 790 1211 1376 3529 1316 1711
353,1831 3694 2510 3529 463 2757 1316 2862 3692 169
354,3022 1583 1039 36 3529 640 2603 463 2630 2745
355,1223 1583 3529 463 3022 2732 3409 1560 2646 640
356,3529 1223 1543 1560 3272 2862 36 2617 3022 2297
357,1831 1956 2314 3022 1007 2688 1583 2210 2732 2297
358,3013 3529 1583 3022 1316 1279 3409 1560 3151 2564
359,3022 1583 1316 1831 2784 640 2314 3473 1592 1337
360,3529 1560 2980 463 1615 640 2370 2636 1583 1337
361,2297 2646 1831 1583 472 3022 3059 1376 1811 3529
362,2980 1490 472 3022 1096 1223 331 398 2603 1781
363,2646 1223 584 3059 1316 1811 463 2630 1960 3529
364,472 3529 3013 124 3153 1316 3402 2265 707 487
365,2862 3529 3153 3409 3423 2402 36 1560 1583 2564
366,1039 2646 1186 2980 1711 584 2757 2128 3418 944
367,1543 1583 2564 1223 1039 36 3409 2402 1057 463
368,1831 640 2297 2688 2603 2630 2510 2067 584 1078
369,476 3694 1223 584 3022 1211 1543 1560 472 208
370,3423 2862 1316 1223 3692 1543 472 2564 3529 1505
371,3022 3013 463 1186 2688 1638 2630 1223 472 1354
372,3269 2862 1592 3668 2664 1223 1039 2732 2688 3013
373,1831 2210 640 82 2646 3528 1568 2501 2186 119
374,476 463 2757 2338 1746 1956 472 208 1490 1809
375,3022 3013 2297 1560 2732 3529 2646 2603 463 2510
376,640 2603 2630 3529 2646 2745 476 208 584 2757
377,3694 2297 3529 476 1030 36 463 293 1505 2250
378,1039 584 2757 1211 2980 3694 2626 208 36 944
379,3022 1039 1543 36 640 3409 463 1316 2630 2646
380,1583 2297 1211 169 2210 1831 640 1543 2256 1030
381,472 3022 1583 1315 2054 2297 1638 401 1057 1279
382,2054 1811 3013 1376 1615 3059 3142 3423 2256 1279
383,2646 3298 1211 2732 1560 3227 2054 3350 2256 1316
384,472 36 1583 2862 2402 3013 3022 1859 2688 1039
385,2603 1211 3528 2210 476 463 1223 3692 2980 2956
386,2862 1223 618 1186 3423 796 3153 1543 2402 3409
387,472 1086 463 1831 3656 452 232 1560 3600 1543
388,1279 3423 36 2862 2798 1186 3022 1543 132 1205
389,476 640 463 2757 2980 208 331 3327 2129 472
390,1583 2342 2732 1956 512 1711 1831 640 293 2338
391,3022 2297 2980 543 3053 2602 584 2501 1855 2468
392,1376 3000 1638 1868 2653 1300 3670 1848 3262 3311
393,1583 1039 2564 3694 476 2732 1615 3269 640 2210
394,3013 1543 3153 3423 2862 1560 3022 1583 772 1315
395,1615 1057 2646 3367 2297 3116 530 166 2006 1279
396,3022 1583 640 2210 2646 2297 3692 1030 3694 3529
397,3022 1583 2630 2784 2314 3473 2980 2626 1855 584
398,1831 640 1039 584 476 2210 2646 2757 1223 1316
399,1560 3677 989 1887 186 1337 482 2256 1315 2376
400,472 132 2745 1030 2646 487 1583 3022 2732 361
401,1039 1354 1560 3694 2564 1211 476 2688 208 2256
402,1039 472 1223 2297 1560 1543 1316 2564 1615 584
403,1039 2297 1831 2630 3529 2603 1030 463 2626 2980
404,1583 3529 1039 1543 3059 1223 3692 1316 790 2297
405,472 2054 1315 2370 2402 1341 863 1371 3677 1615
406,2980 293 1746 1809 1956 2129 1039 2397 1617 1583
407,1223 124 3529 3013 2862 1831 2054 463 2564 2281
408,2646 640 2603 1186 472 36 1543 1615 2768 169
409,3022 2784 1039 2067 2603 1223 3013 132 2488 2510
410,1831 2630 1186 2256 1711 2342 2636 3059 472 2281
411,36 3022 3013 1583 3692 1186 3269 2564 779 1315
412,1315 3067 1223 2297 1811 1316 1831 2646 3402 1858
413,1583 2732 2564 1316 463 584 36 1223 3529 2256
414,2603 1078 584 2342 3473 1913 3529 3049 1546 1855
415,1223 2862 3022 3153 3013 472 1505 1316 3529 1583
416,3022 2067 2314 2626 584 3529 2342 3053 1956 1211
417,1615 1315 530 3350 2980 3529 3438 640 1858 2297
418,472 1583 2297 2862 3013 790 3529 1316 2564 1831
419,3529 463 1337 1831 1223 36 1560 1583 2297 640
420,1279 796 779 2784 472 3423 3022 2862 1638 1354
421,3022 584 463 2331 2626 2646 2338 1086 3046 212
422,1583 1223 2646 3013 36 2564 124 169 1316 790
423,1070 1536 2281 3022 2335 2297 59 2646 584 760
424,3022 1583 3653 1223 36 472 2297 2784 2862 3529
425,3022 1583 640 2210 2630 169 2862 1560 1039 2757
426,3529 1560 36 2402 1186 2054 2617 463 124 3528
427,1543 3529 472 3013 1560 463 1583 1315 2564 3409
428,476 169 2862 1811 2314 463 36 2603 3409 2402
429,472 1223 1316 2862 3529 3153 2564 3409 124 1315
430,2732 3529 1831 2564 472 463 1811 3013 1376 2636
431,476 640 3013 3409 1746 2564 3529 2757 1543 3022
432,2862 472 3013 1560 3409 1315 69 2564 640 1831
433,1583 2646 1039 3298 253 3000 169 966 1057 1831
434,1543 3013 1316 3402 1560 2076 3409 94 707 1916
435,1223 3022 3529 1560 476 1615 463 3694 1960 2054
436,2862 1223 1039 36 2297 3529 2732 3153 3409 1316
437,1583 1811 1039 3022 2210 2757 2956 1030 1211 2630
438,3022 779 1279 3409 523 472 36 1583 2510 93
439,1223 1560 2054 463 1337 2617 3409 3327 863 487
440,472 1560 2256 2297 1583 640 2342 1337 1039 989
441,3409 3022 36 2862 1543 1583 1223 1279 2564 2402
442,2402 1560 2297 2256 1315 246 3022 989 3600 1337
443,1223 472 2564 1316 790 2297 3529 3022 2054 124
444,476 1316 1223 463 1543 3013 2757 2745 2603 944
445,1583 1831 3529 640 584 2646 472 208 2630 463
446,1583 3022 2297 1831 463 640 3529 2630 2603 1211
447,476 1831 640 3327 2222 2338 1956 1099 3046 1583
448,472 3059 1376 2261 2673 3692 2402 1315 2956 1057
449,472 246 467 989 1315 2402 3677 382 1887 1371
450,1811 463 2980 1039 1223 3013 1315 124 1316 1583
451,1615 2402 3438 3474 530 872 246 3597 183 508
452,1633 3205 3022 1831 527 1456 2281 650 3415 3256
453,472 2636 2980 530 1315 863 3438 1341 3677 37
454,1560 2646 476 584 1223 1316 169 2210 3013 3694
455,1543 1583 3022 1039 1316 3013 476 1223 2732 2297
456,3013 472 1560 1223 1543 2402 3529 1831 2862 989
457,472 1560 2256 2402 1668 3677 246 1887 989 512
458,2402 1337 2256 989 1371 1887 382 2068 2774 3677
459,1505 472 618 3529 3013 1039 3151 1279 3153 1638
460,36 1583 1039 2862 3013 1223 2297 1543 2603 472
461,472 3022 2297 2617 1811 2646 2210 1505 2732 1086
462,2862 1638 1831 1186 640 2646 3694 2067 1505 1615
463,472 1615 1223 124 1831 2862 463 640 2564 2054
464,1560 467 1337 1315 1371 3677 1887 2068 482 2342
465,3529 1583 2210 584 1543 1316 1490 1211 124 2338
466,1315 2402 3022 2732 1583 1223 584 1560 2980 1376
467,1337 472 1583 2297 463 640 3022 584 1831 3529
468,2342 989 2256 3133 1887 1560 2376 1633 1337 3365
469,2603 36 2630 2646 1505 2331 82 3534 3317 3046
